"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,5.02099999999999,5.3,5.06,5.475,5.375,6,5.04,0,0,5.02,5.04,5.06,5.08,5.08,5.375,5.04,5.08,5.4,5.00099999999999,5.9,5.06,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",5.02,0,5.37624999999998,5.02,5.475,5.375,5.93333333333333,5.06,0,0,5.04,5.04,5.06,5,5.02,5.425,5.04,5.02099999999999,5.425,5.06,5.76833333333331,5.02,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",5.275,5.275,0,5.35,5.90166666666664,5.93333333333333,5.96666666666667,5.275,0,0,5.35,5.3,5.3,5.325,5.3,5.9,5.25,5.25,5.80333333333328,5.4,5.83333333333333,5.325,0,5.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",5.04,5.00099999999999,5.4,0,5.475,5.45,5.96666666666667,5.02,0,0,5.04099999999999,5.06099999999999,5.04,5.06,5.06,5.35,5.1,5.08,5.375,5.02,5.83333333333333,5.08,0,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",5.5,5.5,6,5.475,0,6,6.95,5.475,0,0,5.475,5.45124999999998,5.475,5.475,5.475,6,5.5,5.475,6,5.45,6.7,5.5,0,5.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",5.375,5.35,5.8,5.4,6,0,6.8,5.375,0,0,5.45,5.45,5.45,5.35,5.37624999999998,6,5.4,5.4,6,5.35124999999998,5.83333333333333,5.37624999999998,0,5.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",5.93333333333333,5.86666666666667,5.96666666666667,5.9,7,6.85,0,5.93333333333333,0,0,6,5.83499999999998,5.96666666666667,5.96666666666667,5.93499999999998,6.65249999999996,5.93333333333333,5.9,6.8,5.9,6.65249999999996,5.90333333333328,0,5.93333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",5.04,5.04,5.325,5.04,5.475,5.425,6,0,0,0,5.06099999999999,5.1,5.06,5.06,5.04099999999999,5.35124999999998,5,5.06,5.4,5.06,5.83333333333333,5.04099999999999,0,5.02099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",5.02,5.04099999999999,5.35,5.08,5.5,5.475,5.93333333333333,5.02,0,0,0,5.04,5.04,5.02,5.08,5.325,5.08,5.04099999999999,5.45,5.06,5.83333333333333,5,0,5.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",5.06,5.02,5.275,5.04,5.475,5.475,5.96666666666667,5.08,0,0,5.02,0,5,5.04,5.02,5.45,5.04,5.02,5.425,5.04,5.83333333333333,5.02099999999999,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",5.1,5.12,5.27624999999998,5.02,5.5,5.375,6,5.00099999999999,0,0,5,5.06,0,5.02099999999999,5.04,5.425,5,5.02,5.35,5.1,5.86666666666667,5.04,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
