"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The.Netherlands","Turkey","United.Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia...Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R..Macedonia","Latvia","Ukraine","Albania","Serbia...Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech.Republic","Montenegro","Azerbaijan","San.Marino","Australia","Macedonia","Netherlands"
"Belgium",0,0.00400000000000001,0.0166666666666667,0.00709373333333297,0.00625,0.0145833333333333,0.0111111111111112,0.00399151111111094,0,0,0.00400000000000001,0.00400928888888911,0.012898177777778,0.00400000000000001,0,0.0110006249999976,0.0128888888888889,0.00711111111111112,0.0172233333333303,4.00000000017675e-07,0.0111111111111111,0,0,0.00711111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0.00933333333333335,0,0.0166117361111099,0.00400000000000001,0.0111111111111111,0.0172233333333303,0.0111111111111112,0.00399151111111094,0,0,0.00888928888888892,0.00400000000000001,0,0.00400000000000001,0.00711111111111112,0.0111111111111111,0,0,0.0061256249999973,0.00711111111111112,0,0.00400000000000001,0,0.00400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",0.0111111111111111,0.0166666666666667,0,0.0111111111111111,0.0111111111111112,0.0358024691358025,0.0111111111111112,0.00625,0,0,0.0173611111111111,0.0172922916666652,0.0166666666666667,0.0165011111111075,0.0166666666666667,0.0111111111111111,0.0166666666666667,0.0145011111111093,0.0442480246913538,0.0111111111111111,0,0.0166117361111099,0,0.0145833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",0.00711111111111112,0.00400000000000001,0.0166666666666667,0,0.0138888888888889,0.0111111111111111,0,0.00400000000000001,0,0,0.0088888888888889,0.00711111111111112,0.00400000000000001,0,0.00711111111111112,0.00625,0,0.0088888888888889,0.0145833333333333,0.0088888888888889,0.0111111111111112,0.0088888888888889,0,0.00709373333333297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",0.00625,0.0111111111111111,0.0111111111111112,0,0,0.0111111111111112,0.0444444444444444,0,0,0,0,0.0145833333333333,0,0.0164181249999946,0,0.0111111111111112,0.0108899999999952,0.0111111111111111,0.0111111111111112,0.0111111111111111,0.025,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",0.014486736111109,0.0145833333333333,0.0195566666666624,0.0111111111111111,0.0111111111111112,0,0,0.0172922916666652,0,0,0.00625,0.00625,0.0143899999999958,0.00625,0.0166666666666667,0.0197530864197532,0.0166666666666667,0.0143899999999958,0,0.0166666666666667,0.0111111111111111,0.0111111111111111,0,0.0110006249999976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0197530864197532,0.0444444444444444,0.0444444444444444,0,0.0111111111111112,0,0,0.0197530864197532,0.0355813580246866,0.0246924691358025,1.11111111116001e-06,0,0.0444444444444444,0,0,0.025,0,0,0,0,0.0197530864197532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",4.00000000017675e-07,0.00400000000000001,0.0172922916666652,4.00000000017675e-07,0.0111111111111111,0.0111111111111111,0,0,0,0,0.0106666666666667,0.00400000000000001,0,4.00000000017675e-07,0,0.00625,0.00709373333333297,0.00711111111111112,0.0110006249999976,0.00880039999999811,0,4.00000000017675e-07,0,0.0106666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",0.00400000000000001,0.00888928888888892,0.0173611111111111,0,0.0145833333333333,0.0142931249999937,0.0111111111111112,0.00400000000000001,0,0,0,0.00880071111110923,0.00711111111111112,0.00400000000000001,0,0,0.00400000000000001,0.00711111111111112,0.0166666666666667,0.00400000000000001,0,0.00400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",0.00711111111111112,0.00711111111111112,0.0173611111111111,0.0088888888888889,0.0138888888888889,0,0.0358024691358025,4.00000000017675e-07,0,0,0.00400000000000001,0,0.016,0,0.0088888888888889,0.014486736111109,0.00400000000000001,0.00400000000000001,0.00625,0,0.0111111111111111,0.00930706666666611,0,0.0128888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0.00400000000000001,0.00400000000000001,0.0145833333333333,0,0,0,0,0,0,0,0.00392039999999829,0.00711111111111112,0,0,0.00400000000000001,0.00625,0,0.00392039999999829,0.0166666666666667,0.0128888888888889,0.0246913580246914,0.00400000000000001,0,0.00400000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",0.00400000000000001,0.00400000000000001,0.0111111111111111,0.00711111111111112,0.00625,0.00625,0.0197530864197532,0,0,0,0.00400000000000001,4.00000000017675e-07,0.00400000000000001,0,0.00392039999999829,0.0111111111111111,0.00711111111111112,0.00400000000000001,0.0111111111111111,0,0.0111111111111111,0.0128888888888889,0,0.0128888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
