"","Belgium","Finland","France","Germany","Ireland","Israel","Italy","Luxembourg","Malta","Monaco","Norway","Portugal","Spain","Sweden","Switzerland","The Netherlands","Turkey","United Kingdom","Yugoslavia","Austria","Greece","Denmark","Morocco","Cyprus","Iceland","Bosnia & Herzegovina","Croatia","Slovenia","Estonia","Hungary","Lithuania","Poland","Romania","Russia","Slovakia","F.Y.R. Macedonia","Latvia","Ukraine","Albania","Serbia & Montenegro","Andorra","Belarus","Moldova","Bulgaria","Armenia","Georgia","Serbia","Czech Republic","Montenegro","Azerbaijan","San Marino","Australia","Macedonia","Netherlands"
"Belgium",0,5.6,5.86800000000001,6.2,5.8,5.90799999999999,6.5,5.8,0,0,6.128,6.2,5.8,6,5.8,5.8,6,5.6,5.754,5.652,6.13,6.08599999999999,0,6,6.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",5.8,0,5.88600000000001,6,5.674,5.6,5.995,5.4,0,0,6,6.04000000000001,5.422,5.6,6.15,5.8,6.188,5.8,5.8,5.8,6.39250000000001,5.76199999999999,0,6.5,5.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",5.89000000000001,5.598,0,6.07199999999998,5.6,5.8,6.25,5.852,0,0,5.83599999999999,5.70799999999997,5.89400000000001,5.8,5.80599999999999,6,6,6,5.93,5.6,6,6.2,0,6.5,5.61600000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",5.4,5.676,6,0,5.8,5.85,6.25,6,0,0,6,5.972,5.8,6,5.6,6,6,6,5.866,5.552,6.25,6,0,6.435,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ireland",5.428,5.90799999999999,5.6,5.8,0,6.05599999999999,6.5,6.2,0,0,6.2,5.8,6.414,5.41199999999999,5.6,5.6,6.4,5.85599999999999,5.8,5.8,6.25,6,0,6.5,6.03800000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel",6,5.98,6,5.6,5.6,0,6.49000000000001,6.08399999999999,0,0,5.8,6,6.02400000000001,5.702,5.472,5.8,6.08800000000001,5.8,6,6,6.25,6.2,0,6.25,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",6.25,6,5.75,6.53999999999999,7,6.25,0,6.21000000000001,0,0,6.25,6.5,5.75,6.25,6.63249999999999,6.75,6.25,6,6.25,6,6,6.02999999999997,0,7,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luxembourg",6,5.6,5.6,5.6,5.6,6,6.73500000000001,0,0,0,5.8,5.6,5.6,6.26199999999999,6.6,5.4,5.83000000000002,5.98399999999999,5.49400000000001,5.73399999999999,6.5,6.19200000000001,0,6.29499999999999,5.94200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Norway",6.2,5.87,5.572,5.62,5.6,5.926,6.25,5.8,0,0,0,6.00799999999999,6,6,5.89200000000001,6,6,5.95999999999999,6.13199999999999,5.91600000000001,6.5,5.8,0,6.25,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",6.2,5.6,5.99200000000001,5.8,5.6,5.8,6.04749999999999,5.81800000000001,0,0,6.728,0,6,5.8,6.13799999999999,5.6,5.722,6,6.2,5.6,6.25,6,0,6.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",5.88199999999999,5.6,5.6,5.4,5.6,6,6,6,0,0,5.8,6.22,0,5.672,5.8,5.6,6.2,6.2,6.04400000000001,5.6,6.5,5.8,0,5.75,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",5.87,5.8,5.7,6.14200000000001,6.00799999999999,6.196,6.25,5.8,0,0,5.6,6,5.8,0,6.05599999999999,6,5.6,5.68199999999999,5.76600000000001,5.98,6.5,5.846,0,6,6.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",5.57999999999999,6.6,6.6,6.2,6.252,5.8,7,5.55599999999999,0,0,5.52399999999998,5.666,5.8,5.8,0,5.6,5.73400000000001,6,6,6,6.25,6,0,6.58750000000001,5.99200000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Netherlands",6,5.8,5.6,6,6.2,5.8,6.5,6,0,0,6.2,6,5.474,5.6,5.4,0,5.8,5.904,5.6,6.23799999999999,6.75,6,0,6.25,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",5.6,5.8,5.73399999999999,6,6,5.6,6.5,5.8,0,0,6.2,5.8,5.8,6.2,5.8,6,0,5.96799999999998,6,5.8,6.5,6,0,6.00999999999999,6.10999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
